EODDate,EODPrice
42545,76.29
42548,74.23
42549,76.28
42550,78.04
42551,79.53
42552,79.65
42555,79.65
42556,78.97
42557,78.64
42558,79.35
42559,78.99
42562,81.46
42563,81.74
42564,80.57
42565,81.74
42566,81.25
42569,82.65
42570,82.77
42571,84.42
42572,84.18
42573,84.49
42576,83.19
42577,83.59
42578,83.1
42579,83.12
42580,82.48
42583,84.34
42584,83.8
42585,83.67
42586,84.75
42587,84.59
42590,85
42591,85.24
42592,87.33
42593,91.77
42594,98.25
42597,97.17
42598,96.66
42599,97
42600,97
42601,96.86
42604,95.65
42605,95.79
42606,93.88
42607,93.94
42608,95.06
42611,94.88
42612,96
42613,97.19
42614,97.42
42615,99.25
42618,99.25
42619,103.78
42620,102.32
42621,102.57
42622,99.62
42625,100.8
42626,100.28
42627,102.4
42628,104.45
42629,104.64
42632,103.03
42633,101.45
42634,106
42635,109.36
42636,107.71
42639,105.89
42640,108.26
42641,108.75
42642,105.55
42643,105.79
42646,105.38
42647,105.45
42648,106.96
42649,107.08
42650,106
42653,108.41
42654,105.23
42655,103.62
42656,102.15
42657,101.85
42660,102.84
42661,103.34
42662,103.93
42663,103.85
42664,103.94
42667,104.5
42668,104.22
42669,102.78
42670,102.38
42671,101.93
42674,101.69
42675,101.15
42676,98.51
42677,97.75
42678,97.57
42681,99.35
42682,99.85
42683,96.67
42684,94.34
42685,92.99
42688,89.77
42689,91
42690,92.86
42691,94.07
42692,93.39
42695,93.41
42696,93.21
42697,93.03
42698,93.03
42699,93.01
42702,93.76
42703,94.99
42704,94.02
42705,89.86
42706,90.48
42709,90.99
42710,90.4
42711,91.07
42712,92.31
42713,93.28
42716,92.47
42717,92.16
42718,91.19
42719,88.85
42720,88.67
42723,88.93
42724,89.84
42725,89.25
42726,86.8
42727,86.79
42730,86.79
42731,87.54
42732,87.37
42733,87.33
42734,87.81
42737,87.81
42738,88.6
42739,90.51
42740,94.37
42741,93.89
42744,94.72
42745,96.75
42746,96.94
42747,95.9
42748,96.27
42751,96.27
42752,96.12
42753,96
42754,96.17
42755,96.06
42758,98.41
42759,101.43
42760,104.06
42761,102.75
42762,102.07
42765,101.02
42766,101.31
42767,101.57
42768,100.84
42769,100.39
42772,100.9
42773,100.83
42774,103.57
42775,103.34
42776,102.36
42779,103.1
42780,101.59
42781,101.55
42782,100.82
42783,100.52
42786,100.52
42787,102.12
42788,104.2
42789,102.46
42790,102.95
42793,103.6
42794,102.9
42795,104.04
42796,103.19
42797,103.31
42800,102.31
42801,102.63
42802,103.22
42803,103.24
42804,103.39
42807,105.18
42808,104.25
42809,103.69
42810,105.63
42811,105.61
42814,107.25
42815,105.09
42816,106.09
42817,108.25
42818,108.04
42821,108.08
42822,107.8
42823,109.51
42824,108.85
42825,107.83
42828,108.09
42829,107.52
42830,107.44
42831,108.04
42832,108.99
42835,111.7
42836,110.44
42837,110.63
42838,110.21
42839,110.21
42842,111.76
42843,111.23
42844,110.76
42845,112.96
42846,113.11
42849,114.86
42850,115.48
42851,114.97
42852,115.43
42853,115.5
42856,116.68
42857,118.09
42858,116.57
42859,115.86
42860,116.04
42863,116.86
42864,120
42865,119.98
42866,120.16
42867,120.34
42870,121.4
42871,124.02
42872,120.72
42873,121.27
