EODDate,EODPrice
40455,155.39
40456,160.87
40457,155.4
40458,156.27
40459,155.55
40462,153.03
40463,156.48
40464,155.17
40465,155.53
40466,164.64
40469,163.56
40470,158.67
40471,158.67
40472,164.97
40473,169.13
40476,169
40477,169.95
40478,167.51
40479,166.84
40480,165.23
40483,162.58
40484,164.61
40485,168.47
40486,168.93
40487,170.77
40490,171.99
40491,170.27
40492,173.33
40493,170.37
40494,165.68
40497,158.9
40498,157.78
40499,158.35
40500,164.17
40501,164.82
40504,170.39
40505,168.2
40506,177.25
40507,177.25
40508,177.5
40511,179.49
40512,175.4
40513,176.55
40514,176.53
40515,175.68
40518,178.05
40519,176.77
40520,176.29
40521,174.85
40522,175.62
40525,174.25
40526,173.94
40527,175.57
40528,178.04
40529,177.58
40532,183.29
40533,184.75
40534,184.76
40535,182.59
40536,182.59
40539,182.14
40540,181.09
40541,183.37
40542,182.75
40543,180
40546,184.22
40547,185.01
40548,187.42
40549,185.86
40550,185.49
40553,184.68
40554,184.34
40555,184.08
40556,185.53
40557,188.75
40560,188.75
40561,191.25
40562,186.87
40563,181.96
40564,177.42
40567,176.85
40568,176.7
40569,175.39
40570,184.45
40571,171.14
40574,169.64
40575,172.11
40576,173.53
40577,173.71
40578,175.93
40581,176.43
40582,183.06
40583,185.3
40584,186.21
40585,189.25
40588,190.42
40589,189.03
40590,186.62
40591,187.76
40592,186.5
40595,186.5
40596,180.42
40597,176.68
40598,177.75
40599,177.24
40602,173.29
40603,169.44
40604,172.02
40605,172.79
40606,171.67
40609,169.08
40610,166.89
40611,169.05
40612,166.14
40613,168.07
40616,166.73
40617,165.08
40618,164.7
40619,160.97
40620,161.82
40623,164.525
40624,162.6
40625,165.32
40626,171.1
40627,170.98
40630,169.35
40631,174.62
40632,179.42
40633,180.13
40634,180.13
40637,182.94
40638,185.29
40639,182.76
40640,184.91
40641,184.71
40644,184.04
40645,180.48
40646,182.29
40647,181.82
40648,180.01
40651,178.34
40652,178.82
40653,183.87
40654,185.89
40655,185.89
40658,185.42
40659,182.3
40660,196.63
40661,195.07
40662,195.81
40665,201.19
40666,198.45
40667,199.97
40668,197.11
40669,197.6
40672,200.8
40673,203.94
40674,204.38
40675,206.07
40676,202.56
40679,192.51
40680,194.81
40681,197.09
40682,198.805
40683,198.65
40686,196.22
40687,193.27
40688,192.26
40689,195
40690,194.13
40693,194.13
40694,196.69
40695,192.395
40696,193.65
40697,188.32
40700,185.69
40701,187.55
40702,188.05
40703,189.68
40704,186.53
40707,186.29
40708,189.96
40709,185.98
40710,183.65
40711,186.37
40714,187.72
40715,194.23
40716,191.63
40717,194.16
40718,192.55
40721,201.25
40722,202.35
40723,204.18
40724,204.49
40725,209.49
40728,209.49
40729,213.19
40730,214.19
40731,216.74
40732,218.28
40735,212.55
40736,211.23
40737,213.5
40738,210.38
40739,212.87
40742,211.53
40743,218.06
40744,215.55
40745,213.21
40746,216.52
40749,213.49
40750,214.18
40751,222.518
40752,223.9
40753,222.52
40756,221.32
40757,211.7
40758,209.96
40759,201.48
40760,202.7
40763,193.7
40764,205.09
40765,194.13
40766,198.36
40767,202.3
40770,202.95
40771,197.68
40772,195.93
40773,182.52
40774,178.93
40777,177.54
40778,193.55
40779,193.73
40780,192.03
40781,199.27
40784,206.53
40785,210.92
40786,215.23
40787,212.54
40788,210
40791,210
40792,216.18
40793,219.9
40794,217.26
40795,211.39
40798,216.56
40799,219.53
40800,222.57
40801,226.78
40802,239.3
40805,241.69
40806,233.25
40807,231.87
40808,223.23
40809,223.61
40812,229.85
40813,224.21
40814,229.71
40815,222.44
40816,216.23
40819,211.98
40820,212.5
40821,219.498
40822,221.51
40823,224.74
40826,231.32
40827,235.48
40828,236.81
40829,236.15
40830,246.71
40833,242.33
40834,243.88
40835,231.53
40836,233.61
40837,234.78
40840,237.61
40841,227.15
40842,198.4
40843,206.78
40844,217.32
40847,213.51
40848,212.105
40849,215.62
40850,218.29
40851,216.48
40854,217
40855,217.99
40856,211.22
40857,210.79
40858,217.39
40861,218.93
40862,217.83
40863,211.99
40864,204.52
40865,197.14
40868,189.25
40869,192.34
40870,188.99
40871,188.99
40872,182.399
40875,194.15
40876,188.39
40877,192.29
40878,197.13
40879,196.03
40882,196.24
40883,191.99
40884,195.32
40885,190.48
40886,193.03
40889,189.52
40890,180.51
40891,180.21
40892,181.26
40893,181.26
40896,179.33
40897,182.52
40898,174.35
40899,179.03
40900,177.28
40903,177.28
40904,176.27
40905,173.89
40906,173.86
40907,173.1
40910,173.1
40911,179.03
40912,177.51
40913,177.61
40914,182.61
40917,178.56
40918,179.34
40919,178.9
40920,175.93
40921,178.42
40924,178.42
40925,181.66
40926,189.44
40927,194.45
40928,190.93
40931,186.09
40932,187
40933,187.8
40934,193.316
40935,195.37
40938,192.15
40939,194.44
40940,179.46
40941,181.72
40942,187.68
40945,183.14
40946,184.19
40947,185.48
40948,184.98
40949,185.54
40952,191.59
40953,191.3
40954,184.47
40955,179.93
40956,182.5
40959,182.5
40960,182.26
40961,180.58
40962,178.89
40963,179.13
40966,178.53
40967,183.8
40968,179.69
40969,180.04
40970,179.3
40973,180.26
40974,181.09
40975,183.77
40976,187.64
40977,184.32
40980,183.39
40981,184.59
40982,182.26
40983,184.43
40984,185.05
40987,185.52
40988,192.33
40989,191.73
40990,192.4
40991,195.04
40994,202.87
40995,205.44
40996,201.16
40997,204.61
40998,202.51
41001,198.05
41002,199.66
41003,193.99
41004,194.39
41005,194.39
41008,191.87
41009,186.98
41010,187.97
41011,190.69
41012,188.46
