EODDate,EODPrice
41687,67.09
41688,67.3
41689,68.06
41690,69.63
41691,68.59
41694,70.78
41695,69.85
41696,69.26
41697,68.94
41698,68.46
41701,67.41
41702,68.8
41703,71.57
41704,70.84
41705,69.8
41708,72.03
41709,70.1
41710,70.88
41711,68.83
41712,67.72
41715,68.74
41716,69.19
41717,68.24
41718,66.97
41719,67.24
41722,64.1
41723,64.89
41724,60.385
41725,60.97
41726,60.01
41729,60.24
41730,62.62
41731,62.72
41732,59.49
41733,56.749
41736,56.95
41737,58.19
41738,62.41
41739,59.16
41740,58.53
41743,58.89
41744,59.09
41745,59.72
41746,58.94
41747,58.94
41750,61.24
41751,63.03
41752,61.36
41753,60.87
41754,57.71
41757,56.14
41758,58.15
41759,59.78
41760,61.15
41761,60.46
41764,61.22
41765,58.53
41766,57.39
41767,56.76
41768,57.24
41771,59.83
41772,59.83
41773,59.23
41774,57.919
41775,58.02
41778,59.21
41779,58.56
41780,60.49
41781,60.52
41782,61.351
41785,61.351
41786,63.48
41787,63.51
41788,63.83
41789,63.3
41792,63.08
41793,62.87
41794,63.34
41795,63.186
41796,62.5
41799,62.88
41800,65.77
41801,65.781
41802,64.29
41803,64.5
41806,64.19
41807,64.4
41808,65.6
41809,64.342
41810,64.5
41813,65.37
41814,65.72
41815,67.44
41816,67.13
41817,67.6
41820,67.29
41821,68.06
41822,66.45
41823,66.29
41824,66.29
41827,65.29
41828,62.76
41829,64.97
41830,64.873
41831,66.34
41834,67.9
41835,67.165
41836,67.66
41837,66.41
41838,68.42
41841,69.4
41842,69.27
41843,71.29
41844,74.98
41845,75.19
41848,74.92
41849,73.71
41850,74.677
41851,72.65
41852,72.36
41855,73.51
41856,72.69
41857,72.47
41858,73.17
41859,73.06
41862,73.44
41863,72.83
41864,73.77
41865,74.296
41866,73.63
41869,74.59
41870,75.29
41871,74.81
41872,74.57
41873,74.57
41876,75.02
41877,75.96
41878,74.63
41879,73.855
41880,74.82
41883,74.82
41884,76.68
41885,75.83
41886,75.95
41887,77.26
41890,77.89
41891,76.67
41892,77.43
41893,77.92
41894,77.48
41897,74.58
41898,76.08
41899,76.43
41900,77
41901,77.91
41904,76.8
41905,78.29
41906,78.535
41907,77.22
41908,78.79
41911,79
41912,79.04
41913,76.55
41914,77.08
41915,77.44
41918,77.555
41919,76.29
41920,77.52
41921,75.91
41922,72.91
41925,72.99
41926,73.59
41927,73.21
41928,72.63
41929,75.95
41932,76.95
41933,78.69
41934,78.37
41935,80.04
41936,80.67
41939,80.28
41940,80.77
41941,75.86
41942,74.11
41943,74.99
41946,73.88
41947,75.76
41948,74.83
41949,75.26
41950,75.6
41953,75
41954,74.61
41955,74.72
41956,74.25
41957,74.88
41960,74.24
41961,74.34
41962,73.33
41963,73.6
41964,73.75
41967,74.01
41968,75.63
41969,77.62
41970,77.62
41971,77.7
41974,75.1
41975,75.46
41976,74.88
41977,75.24
41978,76.36
41981,76.52
41982,76.84
41983,76.18
41984,77.73
41985,77.83
41988,76.99
41989,74.69
41990,76.11
41991,78.4
41992,79.88
41995,81.45
41996,80.61
41997,80.77
41998,80.77
41999,80.775
42002,80.02
42003,79.22
42004,78.02
42005,78.02
42006,78.45
42009,77.19
42010,76.15
42011,76.15
42012,78.175
42013,77.74
42016,76.72
42017,76.45
42018,76.28
42019,74.05
42020,75.18
42023,75.18
42024,76.24
42025,76.74
42026,77.65
42027,77.83
42030,77.495
42031,75.78
42032,76.24
42033,78
42034,75.91
42037,74.99
42038,75.4
42039,75.63
42040,75.615
42041,74.47
42044,74.44
42045,75.19
42046,76.51
42047,76.23
42048,75.74
42051,75.74
42052,75.6
42053,76.71
42054,79.42
42055,79.895
42058,78.84
42059,78.45
42060,79.56
42061,80.41
42062,78.97
42065,79.75
42066,79.6
42067,80.895
42068,81.21
42069,80.005
42072,79.44
42073,77.55
42074,77.57
42075,78.93
42076,78.05
42079,78.07
42080,79.365
42081,80.91
42082,82.75
42083,83.8
42086,84.43
42087,85.31
42088,82.92
42089,83.01
42090,83.3
42093,83.195
42094,82.215
42095,81.665
42096,81.555
42097,81.555
42100,82.44
42101,82.32
42102,82.275
42103,82.17
42104,82.04
42107,83.01
42108,83.515
42109,82.705
42110,82.31
42111,80.775
42114,83.09
42115,83.62
42116,84.63
42117,82.41
42118,81.53
42121,81.91
42122,80.68
42123,80.465
42124,78.77
42125,78.99
42128,78.81
42129,77.56
42130,78.1
42131,78.425
42132,78.51
42135,78.01
42136,77.46
42137,78.44
42138,81.37
42139,80.42
42142,80.88
42143,80.63
42144,80.55
42145,80.48
42146,80.54
42149,80.54
42150,79.335
42151,80.55
42152,80.145
42153,79.19
42156,80.29
42157,80.445
42158,82.44
42159,82.05
42160,82.14
42163,80.67
42164,80.67
42165,82.16
42166,81.83
42167,81.53
42170,80.71
42171,81.06
42172,81.79
42173,82.905
42174,82.51
42177,84.74
42178,87.88
42179,88.86
42180,87.98
42181,88.01
42184,85.8
42185,85.765
42186,86.91
42187,87.285
42188,87.285
42191,87.55
42192,87.22
42193,85.65
42194,85.88
42195,87.95
42198,90.1
42199,89.68
42200,89.76
42201,90.85
42202,94.97
42205,97.91
42206,98.39
42207,97.04
42208,95.44
42209,96.95
42212,94.17
42213,95.29
42214,96.99
42215,95.21
42216,94.01
42219,94.14
42220,94.06
42221,96.44
42222,95.12
42223,94.3
42226,94.15
42227,93.62
42228,94.19
42229,93.43
42230,94.42
42233,93.93
42234,95.17
42235,95.31
42236,90.56
42237,86.06
42240,82.09
42241,83
42242,87.19
42243,89.73
42244,91.01
42247,89.43
42248,87.23
42249,89.89
42250,88.15
42251,88.26
42254,88.26
42255,89.53
42256,90.44
42257,91.98
42258,92.05
42261,92.31
42262,92.9
42263,93.45
42264,94.34
42265,94.4
42268,95.55
42269,92.96
42270,93.97
42271,94.41
42272,92.77
42275,89.21
42276,86.67
42277,89.9
42278,90.95
42279,92.07
42282,94.01
42283,92.8
42284,92.4
42285,92.47
42286,93.24
42289,94.26
42290,94.12
42291,94.07
42292,95.96
42293,97.54
42296,98.47
42297,97
42298,97.11
42299,99.67
42300,102.19
42303,103.77
42304,103.7
42305,104.2
42306,104.88
42307,101.97
42310,103.31
42311,102.58
42312,103.94
42313,108.76
42314,107.095
42317,106.49
42318,107.91
42319,109.01
42320,108.02
42321,103.95
42324,104.04
42325,105.13
42326,107.77
42327,106.26
42328,107.32
42331,106.95
42332,105.74
42333,105.41
42334,105.41
42335,105.45
42338,104.24
42339,107.12
42340,106.07
42341,104.38
42342,106.18
42345,105.61
42346,106.49
42347,104.6
42348,105.42
42349,102.12
42352,104.66
42353,104.55
42354,106.79
42355,106.22
42356,104.04
42359,104.77
42360,105.51
42361,104.63
42362,105.02
42363,105.02
42366,105.93
42367,107.26
42368,106.22
42369,104.66
42370,104.66
42373,102.22
42374,102.73
42375,102.97
42376,97.92
42377,97.33
42380,97.51
42381,99.37
42382,95.44
42383,98.37
42384,94.97
42387,94.97
42388,95.26
42389,94.35
42390,94.16
42391,97.94
42394,97.01
42395,97.34
42396,94.45
42397,109.11
42398,112.21
42401,115.09
42402,114.61
42403,112.69
42404,110.49
42405,104.07
42408,99.75
42409,99.54
42410,101
42411,101.91
42412,102.01
42415,102.01
42416,101.61
42417,105.2
42418,103.47
42419,104.57
42422,107.16
42423,105.46
42424,106.88
42425,108.07
42426,107.92
42429,106.92
42430,109.82
42431,109.95
42432,109.58
42433,108.39
42436,105.73
42437,105.93
42438,107.51
42439,107.32
42440,109.41
42443,109.89
42444,110.67
42445,112.18
42446,111.02
42447,111.45
42450,111.85
42451,112.25
42452,112.54
42453,113.05
42454,113.05
42457,113.69
42458,116.14
42459,114.7
42460,114.1
42461,116.06
42464,112.55
42465,112.22
42466,113.71
42467,113.64
42468,110.63
42471,108.99
42472,110.61
42473,110.51
42474,110.84
42475,109.64
42478,110.45
42479,112.29
42480,112.42
42481,113.44
42482,110.56
42485,110.1
42486,108.76
42487,108.89
42488,116.73
42489,117.58
42492,118.57
42493,117.43
42494,118.06
42495,117.81
42496,119.49
42499,119.24
42500,120.5
42501,119.52
42502,120.28
42503,119.81
42506,118.67
42507,117.35
42508,117.65
42509,116.81
42510,117.35
42513,115.97
42514,117.7
42515,117.89
42516,119.47
42517,119.38
42520,119.38
42521,118.81
42522,118.78
42523,118.93
42524,118.47
42527,118.79
42528,117.76
42529,118.39
42530,118.56
42531,116.62
42534,113.95
42535,114.94
42536,114.6
42537,114.39
42538,113.02
42541,113.37
42542,114.38
42543,113.91
42544,115.08
42545,112.08
42548,108.97
42549,112.7
42550,114.16
42551,114.28
42552,114.19
42555,114.19
42556,114
42557,116.7
42558,115.85
42559,117.24
42562,117.87
42563,117.93
42564,116.78
42565,117.29
42566,116.86
42569,119.37
42570,120.61
42571,121.92
42572,120.61
42573,121
42576,121.63
42577,121.22
42578,123.34
42579,125
42580,123.94
42583,124.31
42584,123.09
42585,122.51
42586,124.36
42587,125.15
42590,125.26
42591,125.06
42592,124.88
42593,124.9
42594,124.88
42597,123.9
42598,123.3
42599,124.37
42600,123.91
42601,123.56
42604,124.15
42605,124.37
42606,123.48
42607,123.89
42608,124.96
42611,126.54
42612,125.84
42613,126.12
42614,126.17
42615,126.51
42618,126.51
42619,129.73
42620,131.05
42621,130.27
42622,127.1
42625,128.69
42626,127.21
42627,127.77
42628,128.35
42629,129.07
42632,128.65
42633,128.64
42634,129.94
42635,130.08
42636,127.96
42639,127.31
42640,128.69
42641,129.23
42642,128.09
42643,128.27
42646,128.77
42647,128.19
42648,128.47
42649,128.74
42650,128.99
42653,130.24
42654,128.88
42655,129.05
42656,127.82
42657,127.88
42660,127.54
42661,128.57
42662,130.11
42663,130
42664,132.07
42667,133.28
42668,132.29
42669,131.04
42670,129.69
42671,131.29
42674,130.99
42675,129.5
42676,127.17
42677,120
42678,120.75
42681,122.15
42682,124.22
42683,123.18
42684,120.8
42685,119.02
42688,115.08
42689,117.2
42690,116.34
42691,117.79
42692,117.02
42695,121.77
42696,121.47
42697,120.84
42698,120.84
42699,120.38
42702,120.41
42703,120.87
42704,118.42
42705,115.1
42706,115.4
42709,117.43
42710,117.31
42711,117.95
42712,118.91
42713,119.68
42716,117.77
42717,120.31
42718,120.21
42719,120.57
42720,119.87
42723,119.24
42724,119.09
42725,119.04
42726,117.4
42727,117.27
42730,117.27
42731,118.01
42732,116.92
42733,116.35
42734,115.05
42737,115.05
42738,116.86
42739,118.69
42740,120.67
42741,123.41
42744,124.9
42745,124.35
42746,126.09
42747,126.62
42748,128.34
42751,128.34
42752,127.87
42753,127.92
42754,127.55
42755,127.04
42758,128.93
42759,129.37
42760,131.48
42761,132.78
